"Name" "Chr" "Pos" "cM"
"M96" "M96" 1 8032199 23.4729913950585
"M97" "M97" 1 8100477 23.5973221960579
"M98" "M98" 1 8623017 25.8639608697611
"M99" "M99" 1 8633468 25.8858283430019
"M100" "M100" 1 8633823 25.8865711382369
"M101" "M101" 1 8634520 25.8880295277545
"M102" "M102" 1 9305229 28.3008410008057
"M103" "M103" 1 9305256 28.3010053686418
"M104" "M104" 1 9435372 29.5627598430995
"M105" "M105" 1 9435426 29.5630447412372
"M106" "M106" 1 9562206 30.231922257649
"M107" "M107" 1 9581910 30.3132682435515
"M108" "M108" 1 9809995 31.144512093546
"M109" "M109" 1 9922610 31.5549315694744
"M110" "M110" 1 9956621 31.6788828796534
"M111" "M111" 1 9992144 31.8083445947304
"M112" "M112" 1 9992169 31.8084357059225
"M113" "M113" 1 10096183 32.1804271848433
"M114" "M114" 1 10361222 32.8699478133855
"M115" "M115" 1 10533538 33.3182419762365
"M116" "M116" 1 10537070 33.3274307630189
"M117" "M117" 1 10539039 33.3325532775077
"M118" "M118" 1 10540357 33.3359821622696
"M119" "M119" 1 10542800 33.3423378265135
"M120" "M120" 1 10547214 33.3538212084096
"M121" "M121" 1 10580378 33.440100065955
"M122" "M122" 1 10585225 33.452709932754
"M123" "M123" 1 10589088 33.4627598430995
"M124" "M124" 1 10667363 33.7389909679432
"M125" "M125" 1 10672720 33.7578957285409
"M126" "M126" 1 10674064 33.7626386813584
"M127" "M127" 1 10736892 33.9843576096456
"M128" "M128" 1 10820153 34.2781842424863
"M129" "M129" 1 10826196 34.2995098852513
"M130" "M130" 1 10839107 34.345072581551
"M131" "M131" 1 10844119 34.3627598430995
"M132" "M132" 1 10868783 34.4320605329033
"M133" "M133" 1 10897853 34.5137411626711
"M134" "M134" 1 10900905 34.5223166453699
"M135" "M135" 1 10905137 34.5342076816677
"M136" "M136" 1 10905399 34.5349438469583
"M137" "M137" 1 10962375 34.6950345095539
"M138" "M138" 1 10995423 34.7878924886584
"M139" "M139" 1 11110601 35.1115186178433
"M140" "M140" 1 11114825 35.1233871758116
"M141" "M141" 1 11392013 35.9022275749893
"M142" "M142" 1 11392132 35.9025619401404
"M143" "M143" 1 11392392 35.9032924858486
"M144" "M144" 1 11399303 35.9227109527329
"M145" "M145" 1 11473826 36.1321050212637
"M146" "M146" 1 11488064 36.1721108281655
"M147" "M147" 1 11488397 36.1730464886303
"M148" "M148" 1 11488804 36.1741900736429
"M149" "M149" 1 11532836 36.297910799131
"M150" "M150" 1 11546601 36.336587574802
"M151" "M151" 1 11686852 36.7306635983855
"M152" "M152" 1 11761103 36.9392934037138
"M153" "M153" 1 11951194 37.5812007364773
"M154" "M154" 1 12149892 38.6833787108901
"M155" "M155" 1 12248726 39.23161099266
"M156" "M156" 1 12251110 39.2448350426806
"M157" "M157" 1 12255563 39.2695358374549
"M158" "M158" 1 12352106 39.805059940283
"M159" "M159" 1 12362508 39.8627598430995
"M160" "M160" 1 12397056 40.2199397163218
"M161" "M161" 1 12436754 40.6303636658174
"M162" "M162" 1 12487014 41.1499844956238
"M163" "M163" 1 12498324 41.2669146903136
"M164" "M164" 1 12518476 41.4653014643817
"M165" "M165" 1 12519269 41.4669685493087
"M166" "M166" 1 12522129 41.4729809867503
"M167" "M167" 1 12522242 41.4732185410968
"M168" "M168" 1 12570280 41.5742064676073
"M169" "M169" 1 12822345 42.104110329048
"M170" "M170" 1 12946006 42.3640767718687
"M171" "M171" 1 13559407 43.6535995477859
"M172" "M172" 1 13739473 44.0321434500102
"M173" "M173" 1 14032344 44.6478317597873
"M174" "M174" 1 14168358 44.7449021237357
"M175" "M175" 1 14507453 44.9609706090888
"M176" "M176" 1 14510261 44.9627598430995
"M177" "M177" 1 14639024 45.123276186065
"M178" "M178" 1 14709426 45.2110395309501
"M179" "M179" 1 14807352 45.3331143769947
"M180" "M180" 1 14818025 45.3464193708863
"M181" "M181" 1 14847409 45.3830495536383
"M182" "M182" 1 14852801 45.389771237051
"M183" "M183" 1 14859085 45.3976048903458
"M184" "M184" 1 14859571 45.3982107394071
"M185" "M185" 1 15067963 45.6579928332015
"M186" "M186" 1 15475258 46.0927731045076
"M187" "M187" 1 15728580 46.3627598430995
"M188" "M188" 1 15729259 46.3661759279343
"M189" "M189" 1 15739094 46.4156563319837
"M190" "M190" 1 15781985 46.6314432165881
"M191" "M191" 1 15783656 46.6398501057764
"M192" "M192" 1 15808888 46.766793629414
"M193" "M193" 1 15817248 46.8088532306192
"M194" "M194" 1 15907469 47.2627598430995
"M195" "M195" 1 15989724 47.412121237115
"M196" "M196" 1 16178511 47.7549270178213
"M197" "M197" 1 16201810 47.7972341252211
"M198" "M198" 1 16348038 48.0627598430995
"M199" "M199" 1 16348917 48.063897397939
"M200" "M200" 1 16371704 48.0933871159445
"M201" "M201" 1 16437971 48.1791463270327
"M202" "M202" 1 16469406 48.2198278246191
"M203" "M203" 1 16598661 48.3898287457609
"M204" "M204" 1 16602399 48.3952079886183
"M205" "M205" 1 16626785 48.4303011444024
"M206" "M206" 1 16782503 48.6543902132283
"M207" "M207" 1 16788319 48.6627598430995
"M208" "M208" 1 16788736 48.6636283822978
"M209" "M209" 1 16802074 48.6914091396765
"M210" "M210" 1 16826343 48.7419572878864
"M211" "M211" 1 17409398 49.9563604587834
"M212" "M212" 1 17493297 50.1311076295222
"M213" "M213" 1 17528163 50.2037275040735
"M214" "M214" 1 17695889 50.5530718819484
"M215" "M215" 1 17715789 50.5945201554404
"M216" "M216" 1 17739746 50.6444184613724
"M217" "M217" 1 17748552 50.6627598430995
"M218" "M218" 1 17828621 50.7874288097059
"M219" "M219" 1 17832205 50.7930091663523
"M220" "M220" 1 17843007 50.809828087249
"M221" "M221" 1 17850815 50.8219852928
"M222" "M222" 1 17963080 50.9967840480744
"M223" "M223" 1 17963743 50.9978163517733
"M224" "M224" 1 17976792 51.0181338947081
"M225" "M225" 1 18133579 51.2622542567373
"M226" "M226" 1 18190764 51.3512923970336
"M227" "M227" 1 18198129 51.3627598430995
"M228" "M228" 1 18199120 51.3645243836437
"M229" "M229" 1 18201645 51.3690203118716
"M230" "M230" 1 18202585 51.3706940435683
"M231" "M231" 1 18202725 51.3709433227572
"M232" "M232" 1 18202851 51.3711676740272
"M233" "M233" 1 18206983 51.3785249712303
"M234" "M234" 1 18293950 51.5333754227945
"M235" "M235" 1 18294522 51.5343939063376
"M236" "M236" 1 18643856 52.1564060218149
"M237" "M237" 1 18758909 52.3612654397989
"M238" "M238" 1 18957087 52.714134376178
"M239" "M239" 1 18984396 52.7627598430995
"M240" "M240" 1 18986228 52.7730862372252
"M241" "M241" 1 19080916 53.3068120052226
"M242" "M242" 1 19099272 53.4102788668879
"M243" "M243" 1 19100675 53.4181871261446
"M244" "M244" 1 19103803 53.4358186549792
"M245" "M245" 1 19262378 54.3296548713972
"M246" "M246" 1 19346576 54.8042518870047
"M247" "M247" 1 19347396 54.808873962978
"M248" "M248" 1 19640811 56.4627598430995
"M249" "M249" 1 19696230 56.477936411501
"M250" "M250" 1 19696259 56.4779443531904
"M251" "M251" 1 19699766 56.4789047499024
"M252" "M252" 1 19699932 56.4789502092279
"M253" "M253" 1 19791776 56.5041018133396
"M254" "M254" 1 19792097 56.5041897196254
"M255" "M255" 1 19974787 56.5542196241937
"M256" "M256" 1 20096765 56.5876234651233
"M257" "M257" 1 20096805 56.5876344191776
"M258" "M258" 1 20096952 56.5876746753272
"M259" "M259" 1 20281583 56.6382361253811
"M260" "M260" 1 20287508 56.6398586946765
"M261" "M261" 1 20529530 56.7061367480096
"M262" "M262" 1 20643488 56.7373443010491
"M263" "M263" 1 20907601 56.8096720047288
"M264" "M264" 1 20915191 56.811750536535
"M265" "M265" 1 20916117 56.8120041228924
"M266" "M266" 1 20916210 56.8120295910687
"M267" "M267" 1 20992314 56.8328707748076
"M268" "M268" 1 20993649 56.8332363663703
"M269" "M269" 1 20999934 56.8349575221545
"M270" "M270" 1 21074756 56.8554476284527
"M271" "M271" 1 21084055 56.8579941722294
"M272" "M272" 1 21206083 56.8914117057269
"M273" "M273" 1 21381552 56.9394641296401
"M274" "M274" 1 21389891 56.9417477761133
"M275" "M275" 1 21568570 57.6406016743868
"M276" "M276" 1 21682502 58.3981016059442
"M277" "M277" 1 21684527 58.4115652277661
"M278" "M278" 1 21710836 58.5864859322156
"M279" "M279" 1 21722308 58.6627598430995
"M280" "M280" 1 21758352 58.71706597804
"M281" "M281" 1 21759934 58.7194495177547
"M282" "M282" 1 21984148 59.0572642924616
"M283" "M283" 1 21984783 59.0582210230044
"M284" "M284" 1 21991763 59.0687375256646
"M285" "M285" 1 22375781 59.5642114529972
"M286" "M286" 1 22383310 59.5704468949711
"M287" "M287" 1 22383989 59.5710092359328
"M288" "M288" 1 22463751 59.6370673210335
"M289" "M289" 1 22645687 59.787744883919
"M290" "M290" 1 22774453 59.8943875882903
"M291" "M291" 1 22874170 59.9769722034201
"M292" "M292" 1 23054862 60.1266194980342
"M293" "M293" 1 23193950 60.2418107788506
"M294" "M294" 1 23218696 60.2623051668286
"M295" "M295" 1 23228084 60.343330464311
"M296" "M296" 1 23229801 60.3589815285286
"M297" "M297" 1 23563301 60.9859002718566
"M298" "M298" 1 23564131 60.9872482579978
"M299" "M299" 1 23610626 61.0627598430995
"M300" "M300" 1 23615254 61.0730430421343
"M301" "M301" 1 23615962 61.0746161849426
"M302" "M302" 1 23618315 61.0798444406316
"M303" "M303" 1 23936178 61.7861211248999
"M304" "M304" 1 23939622 61.7937735314417
"M305" "M305" 1 23965965 61.8523064424558
"M306" "M306" 1 24052120 62.0437388134242
"M307" "M307" 1 24194242 62.3595272346044
"M308" "M308" 1 24203717 62.380580240407
"M309" "M309" 1 24203774 62.3807068917348
"M310" "M310" 1 24296248 62.5861797844622
"M311" "M311" 1 24408873 62.8364272544908
"M312" "M312" 1 24507957 63.0565872573349
"M313" "M313" 1 24510735 63.0627598430995
"M314" "M314" 1 24584605 63.1056568890279
"M315" "M315" 1 24585875 63.1063943906974
"M316" "M316" 1 24735390 63.1932192427616
"M317" "M317" 1 24931201 63.3069286438754
"M318" "M318" 1 25101603 63.4058827852086
"M319" "M319" 1 25287214 63.513668944567
"M320" "M320" 1 25371750 63.5627598430995
"M321" "M321" 1 25376989 63.7098969327959
"M322" "M322" 1 25378468 63.7514345841913
"M323" "M323" 1 25381332 63.8318699010248
"M324" "M324" 1 25387147 63.9951839259502
"M325" "M325" 1 25387503 64.0051821706404
"M326" "M326" 1 25392977 64.1589192252305
"M327" "M327" 1 25400235 64.3627598430996
"M328" "M328" 1 25451848 64.4089904452448
"M329" "M329" 1 25452076 64.4091946685468
"M330" "M330" 1 25452904 64.4099363215912
"M331" "M331" 1 25623520 64.5627598430995
"M332" "M332" 1 25635415 64.5671654312891
"M333" "M333" 1 25710814 64.5950911937021
"M334" "M334" 1 25820784 64.635821125035
"M335" "M335" 1 25878895 64.6573438770554
"M336" "M336" 1 25884891 64.6595646342462
"M337" "M337" 1 26433039 64.8625839158705
"M338" "M338" 1 26433098 64.8626057678842
"M339" "M339" 1 26433514 64.8627598430996
"M340" "M340" 1 26496101 64.9435916758786
"M341" "M341" 1 26574295 65.0445801292687
"M342" "M342" 1 26578028 65.049401341849
"M343" "M343" 1 26683529 65.1856571008728
"M344" "M344" 1 26685796 65.1885849575349
"M345" "M345" 1 26692135 65.1967718491895
"M346" "M346" 1 26694328 65.1996041339976
"M347" "M347" 1 26695589 65.2012327300501
"M348" "M348" 1 26915317 65.4850139777992
"M349" "M349" 1 26916269 65.4862434967857
"M350" "M350" 1 26917064 65.4872702484603
"M351" "M351" 1 26948708 65.5281388396448
"M352" "M352" 1 27085346 65.704608393502
"M353" "M353" 1 27095647 65.7179122538797
"M354" "M354" 1 27379439 66.0844328969531
"M355" "M355" 1 27394586 66.1039954222556
"M356" "M356" 1 27395156 66.1047315838336
"M357" "M357" 1 27400077 66.1110871121239
"M358" "M358" 1 27403703 66.1157701329694
"M359" "M359" 1 27502892 66.2438738711502
"M360" "M360" 1 27504708 66.2462192561076
"M361" "M361" 1 27552783 66.3083086734123
"M362" "M362" 1 27555261 66.3115090390094
"M363" "M363" 1 27626654 66.4037139224133
"M364" "M364" 1 27647570 66.4307271777923
"M365" "M365" 1 27776090 66.5967122409646
"M366" "M366" 1 27804092 66.6328771471189
"M367" "M367" 1 27980406 66.8605887128531
"M368" "M368" 1 28417212 67.4247287027694
"M369" "M369" 1 28421930 67.430822054217
"M370" "M370" 1 28529484 68.5627598430996
"M371" "M371" 1 28596991 68.8890729358402
"M372" "M372" 1 28614487 68.9736445190922
"M373" "M373" 1 28615160 68.9768976441224
"M374" "M374" 1 28632923 69.0627598430996
"M375" "M375" 1 28633411 69.0634802871766
"M376" "M376" 1 28636325 69.067782283161
"M377" "M377" 1 28641301 69.0751284506347
"M378" "M378" 1 28642804 69.0773473593391
"M379" "M379" 1 28766398 69.2598116323992
"M380" "M380" 1 28796497 69.3042473829602
"M381" "M381" 1 28796566 69.3043492490285
"M382" "M382" 1 28801906 69.3122327969203
"M383" "M383" 1 28927650 69.4978711576147
"M384" "M384" 1 28964147 69.5517524024476
"M385" "M385" 1 29355317 70.1292444303205
"M386" "M386" 1 29355902 70.130108077421
"M387" "M387" 1 29400930 70.196583806723
"M388" "M388" 1 29403977 70.2010821532448
"M389" "M389" 1 29404442 70.2017686419657
"M390" "M390" 1 29550398 70.4172463790627
"M391" "M391" 1 29551638 70.4190770156518
"M392" "M392" 1 29681768 70.6111905151203
"M393" "M393" 1 29684027 70.6145255216161
"M394" "M394" 1 29694518 70.6300135929519
"M395" "M395" 1 29742467 70.7008016524771
"M396" "M396" 1 29742488 70.7008326551936
"M397" "M397" 1 29757662 70.7232343322929
"M398" "M398" 1 29784435 70.7627598430995
"M399" "M399" 1 29784748 70.7631032971722
"M400" "M400" 1 30216622 71.236997495761
"M401" "M401" 1 30279417 71.3059022832694
"M402" "M402" 1 30292896 71.3206927543392
"M403" "M403" 1 30436724 71.4785148385458
"M404" "M404" 1 30568749 71.6233855220523
"M405" "M405" 1 30570149 71.6249217383515
"M406" "M406" 1 30571714 71.6266390087146
"M407" "M407" 1 30612195 71.6710587030076
"M408" "M408" 1 30629630 71.6901900824201
"M409" "M409" 1 30682588 71.7483007558315
"M410" "M410" 1 30684307 71.7501870099875
"M411" "M411" 1 30688139 71.754391853458
"M412" "M412" 1 30689129 71.7554781778411
"M413" "M413" 1 30695765 71.7627598430995
"M414" "M414" 1 30744186 71.7784943144849
"M415" "M415" 1 30762295 71.784378859255
"M416" "M416" 1 30805134 71.7982994519664
"M417" "M417" 1 30806294 71.7986763955819
"M418" "M418" 1 30888417 71.8253623788036
"M419" "M419" 1 30889881 71.8258381076425
"M420" "M420" 1 30890157 71.8259277942269
"M421" "M421" 1 31060322 71.8812231479635
"M422" "M422" 1 31060548 71.8812965869783
"M423" "M423" 1 31060951 71.8814275423895
"M424" "M424" 1 31064736 71.8826574834109
"M425" "M425" 1 31064990 71.8827400210646
"M426" "M426" 1 31065740 71.8829837346091
"M427" "M427" 1 31070185 71.8844281435496
"M428" "M428" 1 31071829 71.8849623636392
"M429" "M429" 1 31089153 71.8905918215661
"M430" "M430" 1 31206651 71.9287729603041
"M431" "M431" 1 31243038 71.9405969666298
"M432" "M432" 1 31380212 71.9851718489703
"M433" "M433" 1 31485764 72.0194711183713
"M434" "M434" 1 31502042 72.0247606771415
"M435" "M435" 1 31535697 72.0356969162624
"M436" "M436" 1 31582444 72.0508874190163
"M437" "M437" 1 31662682 72.0769608688628
"M438" "M438" 1 31723361 72.0966785944197
"M439" "M439" 1 31850441 72.1379734174024
"M440" "M440" 1 31861674 72.1416235963965
"M441" "M441" 1 31865649 72.1429152781824
"M442" "M442" 1 31976053 72.1787912117407
"M443" "M443" 1 31976599 72.1789686352011
"M444" "M444" 1 32154688 72.2368389037734
"M445" "M445" 1 32157097 72.2376217116784
"M446" "M446" 1 32197696 72.2508144132701
"M447" "M447" 1 32199839 72.2515107841046
"M448" "M448" 1 32205527 72.2533591076262
"M449" "M449" 1 32205551 72.2533669064597
"M450" "M450" 1 32227267 72.2604235509033
"M451" "M451" 1 32233495 72.2624473481769
"M452" "M452" 1 32308600 72.2868528225247
"M453" "M453" 1 32601388 72.5298556330041
"M454" "M454" 1 32753620 72.9595910119974
"M455" "M455" 1 32758011 72.971986356269
"M456" "M456" 1 32837626 73.1967313651932
"M457" "M457" 1 32871182 73.2914565240133
"M458" "M458" 1 32984674 73.6118328419537
"M459" "M459" 1 32998652 73.6512913075035
"M460" "M460" 1 33123139 74.0027053868346
"M461" "M461" 1 33216955 74.2675383675195
"M462" "M462" 1 33266743 74.4080848035469
"M463" "M463" 1 33382572 74.6684886661075
"M464" "M464" 1 33416348 74.7269967060497
"M465" "M465" 1 33422254 74.7372272983015
"M466" "M466" 1 33459445 74.8016509279052
"M467" "M467" 1 33526063 74.9170490983478
"M468" "M468" 1 33630372 75.097737016939
"M469" "M469" 1 33672182 75.17016184966
"M470" "M470" 1 33672279 75.1703298766577
"M471" "M471" 1 33799525 75.3907501173757
"M472" "M472" 1 33824383 75.4338100669518
"M473" "M473" 1 33831008 75.4452861376712
"M474" "M474" 1 33831846 75.4467377523524
"M475" "M475" 1 33956553 75.6627598430996
"M476" "M476" 1 33968557 75.682397768748
"M477" "M477" 1 34100290 75.8979061709016
"M478" "M478" 1 34203421 76.0666231744048
"M479" "M479" 1 34255898 76.1524728432032
"M480" "M480" 1 34397744 76.3845255924146
"M481" "M481" 1 34659667 76.8130181282049
"M482" "M482" 1 34663575 76.8194114148955
"M483" "M483" 1 34810799 77.0602622950747
"M484" "M484" 1 34810848 77.0603424565506
"M485" "M485" 1 34811000 77.0605911207208
"M486" "M486" 1 34814398 77.0661500736826
"M487" "M487" 1 34896374 77.2002585869248
"M488" "M488" 1 34936603 77.2660711586436
"M489" "M489" 1 34940055 77.2717184528238
"M490" "M490" 1 34940100 77.2717920705057
"M491" "M491" 1 34961462 77.3067392021038
"M492" "M492" 1 34994417 77.3606518845218
"M493" "M493" 1 35568654 78.9629263940524
"M494" "M494" 1 35737166 79.5786894993622
"M495" "M495" 1 35759340 79.6597159609622
"M496" "M496" 1 35760173 79.6627598430996
"M497" "M497" 1 35832791 79.7722515465601
"M498" "M498" 1 35925992 79.9127778107678
"M499" "M499" 1 35926752 79.9139237207988
"M500" "M500" 1 35946604 79.9438560970292
"M501" "M501" 1 35972402 79.9827537114757
"M502" "M502" 1 36155708 80.2591381642911
"M503" "M503" 1 36216181 80.3327300316776
"M504" "M504" 1 36220419 80.3378364300382
"M505" "M505" 1 36500030 80.6747418457965
"M506" "M506" 1 36500310 80.6750792199213
"M507" "M507" 1 36509048 80.6856077024306
"M508" "M508" 1 36512399 80.68964534776
"M509" "M509" 1 36514567 80.6922575874121
"M510" "M510" 1 36565381 80.7534837616197
"M511" "M511" 1 36570105 80.7591757450683
"M512" "M512" 1 36800951 81.0373238422682
"M513" "M513" 1 36830130 81.0724818407962
"M514" "M514" 1 36830744 81.0732216540556
"M515" "M515" 1 36917796 81.1781112694591
"M516" "M516" 1 36917825 81.1781462117792
"M517" "M517" 1 36917945 81.1782908006898
"M518" "M518" 1 36918859 81.1793920862258
"M519" "M519" 1 37124897 81.4276488359675
"M520" "M520" 1 37154037 81.4627598430995
"M521" "M521" 1 37200333 81.4796801381521
"M522" "M522" 1 37211144 81.4836313501319
"M523" "M523" 1 37213331 81.4844306564495
"M524" "M524" 1 37312319 81.5206088611899
"M525" "M525" 1 37314987 81.5215839637301
"M526" "M526" 1 37315231 81.5216731410239
"M527" "M527" 1 37385991 81.54753455622
"M528" "M528" 1 37412514 81.55722820115
"M529" "M529" 1 37715416 81.6679330398406
"M530" "M530" 1 37715525 81.6679728772382
"M531" "M531" 1 37718012 81.6688818277695
"M532" "M532" 1 37776401 81.6902218810748
"M533" "M533" 1 37841402 81.7139784928493
"M534" "M534" 1 37841892 81.7141575783983
"M535" "M535" 1 37850063 81.7171439212978
"M536" "M536" 1 38004465 81.7735748742248
"M537" "M537" 1 38010873 81.7759168746287
"M538" "M538" 1 38123933 81.8172381239514
"M539" "M539" 1 38129178 81.8191550702869
"M540" "M540" 1 38131735 81.8200896044681
"M541" "M541" 1 38132193 81.8202569946342
"M542" "M542" 1 38187071 81.840313845159
"M543" "M543" 1 38203410 81.8462854345159
"M544" "M544" 1 38250642 81.8638359187177
"M545" "M545" 1 38549477 82.0129866874263
"M546" "M546" 1 38550020 82.0132577027605
"M547" "M547" 1 38550041 82.0132681840165
"M548" "M548" 1 38617574 82.0469744060561
"M549" "M549" 1 38633093 82.0547200542553
"M550" "M550" 1 38733586 82.1048768571727
"M551" "M551" 1 38734657 82.1054114012298
"M552" "M552" 1 38738918 82.1075380979871
"M553" "M553" 1 38739125 82.107641413225
"M554" "M554" 1 38741736 82.1089445827235
"M555" "M555" 1 38786599 82.1313360393353
"M556" "M556" 1 38794151 82.1351052986432
"M557" "M557" 1 38847019 82.1614921102285
"M558" "M558" 1 38849559 82.1627598430996
"M559" "M559" 1 39036646 83.2563189306654
"M560" "M560" 1 39054856 83.3627598430996
"M561" "M561" 1 39065286 83.387674852705
"M562" "M562" 1 39070141 83.3992723955271
"M563" "M563" 1 39113698 83.5033206288332
"M564" "M564" 1 39116930 83.5110411763927
"M565" "M565" 1 39139698 83.5654289941008
"M566" "M566" 1 39139774 83.5656105416301
"M567" "M567" 1 39142562 83.5722704694134
"M568" "M568" 1 39255586 83.8422603107982
"M569" "M569" 1 39601605 84.6688247123954
"M570" "M570" 1 39731530 84.9791873799874
"M571" "M571" 1 39742242 85.0047760264776
"M572" "M572" 1 39742946 85.0064577299064
"M573" "M573" 1 39756606 85.0390885095047
"M574" "M574" 1 39855595 85.2964480342335
"M575" "M575" 1 39855722 85.297246988533
"M576" "M576" 1 39891321 85.5211995405734
"M577" "M577" 1 39901939 85.5879971527974
"M578" "M578" 1 39904002 85.6009754419308
"M579" "M579" 1 40354645 88.4359609726797
"M580" "M580" 1 40356581 88.4481403075136
"M581" "M581" 1 40356668 88.4486876226637
"M582" "M582" 1 40422488 88.8627598430996
"M583" "M583" 1 40511539 89.1870243761645
"M584" "M584" 1 40511560 89.1871008442019
"M585" "M585" 1 40724575 89.9627598430995
"M586" "M586" 1 40728786 89.9638074224226
"M587" "M587" 1 40803684 89.9824399553455
"M588" "M588" 1 41218501 90.0856348525322
"M589" "M589" 1 41378023 90.1253194758456
"M590" "M590" 1 41429157 90.1380401885279
"M591" "M591" 1 41432365 90.1388382494323
"M592" "M592" 1 41436592 90.139889809109
"M593" "M593" 1 41851218 90.2430371908241
"M594" "M594" 1 41852202 90.2432819825728
"M595" "M595" 1 41957436 90.2694612659931
"M596" "M596" 1 41964321 90.2711740619178
"M597" "M597" 1 42013458 90.2833979767117
"M598" "M598" 1 42013513 90.2834116591774
"M599" "M599" 1 42013641 90.2834435020065
"M600" "M600" 1 42014294 90.2836059501893
"M601" "M601" 1 42015610 90.283933334276
"M602" "M602" 1 42016450 90.284142302842
"M603" "M603" 1 42018755 90.284715722538
"M604" "M604" 1 42019536 90.2849100135499
"M605" "M605" 1 42122237 90.3104591572349
"M606" "M606" 1 42343438 90.3654877950501
"M607" "M607" 1 42473006 90.3977206988093
"M608" "M608" 1 42776829 90.473303385266
"M609" "M609" 1 42845401 90.4903621858694
"M610" "M610" 1 42923409 90.5097684000306
